time ~/seamc castle-20.tif OUT-castle-20.tif -143
0.000000 sec this iteration (365)
0.000000 sec this iteration (364)
0.000000 sec this iteration (363)
0.000000 sec this iteration (362)
0.000000 sec this iteration (361)
0.000000 sec this iteration (360)
0.000000 sec this iteration (359)
0.000000 sec this iteration (358)
0.000000 sec this iteration (357)
0.000000 sec this iteration (356)
0.000000 sec this iteration (355)
0.000000 sec this iteration (354)
0.000000 sec this iteration (353)
0.000000 sec this iteration (352)
0.000000 sec this iteration (351)
0.000000 sec this iteration (350)
0.000000 sec this iteration (349)
0.000000 sec this iteration (348)
0.000000 sec this iteration (347)
0.000000 sec this iteration (346)
0.000000 sec this iteration (345)
0.000000 sec this iteration (344)
0.000000 sec this iteration (343)
0.000000 sec this iteration (342)
0.000000 sec this iteration (341)
0.000000 sec this iteration (340)
0.000000 sec this iteration (339)
0.000000 sec this iteration (338)
0.000000 sec this iteration (337)
0.000000 sec this iteration (336)
0.000000 sec this iteration (335)
0.000000 sec this iteration (334)
0.000000 sec this iteration (333)
0.000000 sec this iteration (332)
0.000000 sec this iteration (331)
0.000000 sec this iteration (330)
0.000000 sec this iteration (329)
0.000000 sec this iteration (328)
0.000000 sec this iteration (327)
0.000000 sec this iteration (326)
0.000000 sec this iteration (325)
0.000000 sec this iteration (324)
0.000000 sec this iteration (323)
0.000000 sec this iteration (322)
0.000000 sec this iteration (321)
0.000000 sec this iteration (320)
0.000000 sec this iteration (319)
0.000000 sec this iteration (318)
0.000000 sec this iteration (317)
0.000000 sec this iteration (316)
0.000000 sec this iteration (315)
0.000000 sec this iteration (314)
0.000000 sec this iteration (313)
0.000000 sec this iteration (312)
0.000000 sec this iteration (311)
0.000000 sec this iteration (310)
0.000000 sec this iteration (309)
0.000000 sec this iteration (308)
0.000000 sec this iteration (307)
1.000000 sec this iteration (306)
0.000000 sec this iteration (305)
0.000000 sec this iteration (304)
0.000000 sec this iteration (303)
0.000000 sec this iteration (302)
0.000000 sec this iteration (301)
0.000000 sec this iteration (300)
0.000000 sec this iteration (299)
0.000000 sec this iteration (298)
0.000000 sec this iteration (297)
0.000000 sec this iteration (296)
0.000000 sec this iteration (295)
0.000000 sec this iteration (294)
0.000000 sec this iteration (293)
0.000000 sec this iteration (292)
0.000000 sec this iteration (291)
0.000000 sec this iteration (290)
0.000000 sec this iteration (289)
0.000000 sec this iteration (288)
0.000000 sec this iteration (287)
castle-40.tif -> OUT-castle-40.tif (-285 x 0)
(w x h) IN: 571 x 387  OUT: 286 x 387

real	0m5.363s
user	0m5.340s
sys	0m0.024s
time ~/seamc castle-60.tif OUT-castle-60.tif -428
0.000000 sec this iteration (857)
0.000000 sec this iteration (856)
0.000000 sec this iteration (855)
0.000000 sec this iteration (854)
0.000000 sec this iteration (853)
0.000000 sec this iteration (852)
0.000000 sec this iteration (851)
0.000000 sec this iteration (850)
0.000000 sec this iteration (849)
0.000000 sec this iteration (848)
0.000000 sec this iteration (847)
0.000000 sec this iteration (846)
1.000000 sec this iteration (845)
0.000000 sec this iteration (844)
0.000000 sec this iteration (843)
0.000000 sec this iteration (842)
0.000000 sec this iteration (841)
0.000000 sec this iteration (840)
0.000000 sec this iteration (839)
0.000000 sec this iteration (838)
0.000000 sec this iteration (837)
0.000000 sec this iteration (836)
0.000000 sec this iteration (835)
0.000000 sec this iteration (834)
0.000000 sec this iteration (833)
0.000000 sec this iteration (832)
0.000000 sec this iteration (831)
0.000000 sec this iteration (830)
0.000000 sec this iteration (829)
0.000000 sec this iteration (828)
0.000000 sec this iteration (827)
1.000000 sec this iteration (826)
0.000000 sec this iteration (825)
0.000000 sec this iteration (824)
0.000000 sec this iteration (823)
0.000000 sec this iteration (822)
0.000000 sec this iteration (821)
0.000000 sec this iteration (820)
0.000000 sec this iteration (819)
0.000000 sec this iteration (818)
0.000000 sec this iteration (817)
0.000000 sec this iteration (816)
0.000000 sec this iteration (815)
0.000000 sec this iteration (814)
0.000000 sec this iteration (813)
0.000000 sec this iteration (812)
0.000000 sec this iteration (811)
0.000000 sec this iteration (810)
0.000000 sec this iteration (809)
0.000000 sec this iteration (808)
0.000000 sec this iteration (807)
1.000000 sec this iteration (806)
0.000000 sec this iteration (805)
0.000000 sec this iteration (804)
0.000000 sec this iteration (803)
0.000000 sec this iteration (802)
0.000000 sec this iteration (801)
0.000000 sec this iteration (800)
0.000000 sec this iteration (799)
0.000000 sec this iteration (798)
0.000000 sec this iteration (797)
0.000000 sec this iteration (796)
0.000000 sec this iteration (795)
0.000000 sec this iteration (794)
0.000000 sec this iteration (793)
0.000000 sec this iteration (792)
0.000000 sec this iteration (791)
0.000000 sec this iteration (790)
0.000000 sec this iteration (789)
0.000000 sec this iteration (788)
0.000000 sec this iteration (787)
1.000000 sec this iteration (786)
0.000000 sec this iteration (785)
0.000000 sec this iteration (784)
0.000000 sec this iteration (783)
0.000000 sec this iteration (782)
0.000000 sec this iteration (781)
0.000000 sec this iteration (780)
0.000000 sec this iteration (779)
0.000000 sec this iteration (778)
0.000000 sec this iteration (777)
0.000000 sec this iteration (776)
0.000000 sec this iteration (775)
0.000000 sec this iteration (774)
0.000000 sec this iteration (773)
0.000000 sec this iteration (772)
0.000000 sec this iteration (771)
0.000000 sec this iteration (770)
0.000000 sec this iteration (769)
0.000000 sec this iteration (768)
0.000000 sec this iteration (767)
1.000000 sec this iteration (766)
0.000000 sec this iteration (765)
0.000000 sec this iteration (764)
0.000000 sec this iteration (763)
0.000000 sec this iteration (762)
0.000000 sec this iteration (761)
